"id","parent_id","root_id"
"1141","1131","9"
"1144","1131","9"
"1145","1054","9"
"1146","1145","9"
"1147","1145","9"
"1148","1145","9"
"1149","1145","9"
"1150","1131","9"
"1151","1054","9"
"1152","1151","9"
"1153","1151","9"
"1155","18321","8"
"1156","18321","8"
"1157","6192","8"
"1158","18321","8"
"1159","6080","8"
"1160","409","8"
"1161","1291","8"
"1162","10","9"
"1163","1162","9"
"1164","1162","9"
"1165","1162","9"
"1166","10","9"
"1167","1166","9"
"1168","1166","9"
"1169","9","9"
"1170","1169","9"
"1171","1169","9"
"1172","1169","9"
"1174","3711","8"
"1176","1171","9"
"1178","1052","9"
"1179","1170","9"
"1180","1170","9"
"1181","1170","9"
"1182","1170","9"
"1183","1170","9"
"1185","1170","9"
"1187","1170","9"
"1188","1170","9"
"1189","3681","8"
"1191","1295","8"
"1192","1295","8"
"1193","5996","8"
"1195","1170","9"
"1196","279","8"
"1197","279","8"
"1199","1295","8"
"1200","1295","8"
"1201","1295","8"
"1202","1295","8"
"1203","1171","9"
"1204","1171","9"
"1205","1171","9"
"1206","1171","9"
"1207","1171","9"
"1208","1295","8"
"1209","1025","8"
"1210","1172","9"
"1211","1172","9"
"1212","1172","9"
"1213","9","9"
"1214","1213","9"
"1215","1213","9"
"1216","1213","9"
"1217","1213","9"
"1218","1213","9"
"1219","1213","9"
"1220","1213","9"
"1221","1213","9"
"1222","1223","8"
"1223","1295","8"
"1224","2135","8"
"1225","6282","8"
"1226","1189","8"
"1227","3737","8"
"1228","1688","8"
"1233","1189","8"
"1240","10032","8"
"1241","1293","8"
"1242","2155","8"
"1244","1295","8"
"1245","279","8"
"1246","1166","9"
"1248","1295","8"
"1249","1250","7"
"1250","7","7"
"1252","236","8"
"1253","6054","8"
"1254","6027","8"
"1258","279","8"
"1261","3696","8"
"1262","3689","8"
"1266","4627","8"
"1269","6078","8"
"1274","3928","8"
"1279","3674","8"
"1280","6110","8"
"1281","1295","8"
"1282","1059","9"
"1284","3714","8"
"1286","4052","8"
"1287","6061","8"
"1288","6147","8"
"1290","3789","8"
"1291","3789","8"
"1292","3789","8"
"1293","3789","8"
"1294","6110","8"
"1295","3789","8"
"1296","8","8"
"1297","3713","8"
"1299","6152","8"
"1300","1052","9"
"1302","3758","8"
"1303","6152","8"
"1307","964","8"
"1308","1284","8"
"1310","461","8"
"1312","3731","8"
"1313","1312","8"
"1315","774","8"
"1316","1189","8"
"1317","6186","8"
"1318","6115","8"
"1319","6119","8"
"1321","8532","8"
"1322","262","8"
"1323","3790","8"
"1325","1716","8"
"1326","2040","8"
"1327","2724","8"
"1328","5995","8"
"1329","1290","8"
"1330","6217","8"
"1331","6052","8"
"1332","6147","8"
"1333","3928","8"
"1334","693","8"
"1335","3934","8"
"1336","1876","8"
"1337","6096","8"
"1338","6039","8"
"15970","3026","8"
"1340","6876","8"
"1342","461","8"
"1343","1691","8"
"1345","1604","8"
"1346","1691","8"
"1347","246","8"
"1348","1491","8"
"1349","6191","8"
"1350","1189","8"
"1353","1716","8"
"1356","6075","8"
"1357","3711","8"
"1358","511","8"
"1359","3693","8"
"1360","279","8"
"1361","1189","8"
"1362","90","8"
"1365","3803","8"
"1366","6112","8"
"1368","961","8"
"1369","451","8"
"1370","6152","8"
"1373","628","8"
"1374","6112","8"
"1375","6112","8"
"1376","6112","8"
"1377","1687","8"
"1378","1727","8"
"1379","6149","8"
"1380","6150","8"
