"movie_id","abstract"
"26397","Biografía de Serge Gainsbourg, uno de los grandes iconos franceses del siglo XX. Cantante, escritor, compositor y pintor, Gainsbourg fue también un provocador, una persona polémica y atormentada, una figura pública impredecible. "
"41049","Marcela es una joven con problemas económicos que encuentra trabajo cuidando a Amador, un anciano postrado en la cama. Ambos esconden algo que los demás no saben, pero pronto se confesarán sus secretos. Sin embargo, un día Amador muere, dejando a Marcela en una situación complicada: si lo dice, se quedará sin trabajo, y no se lo puede permitir. "
"21412","Sophie y su novio Victor pasan unos días en Verona. En el famoso patio de Verona, donde las mujeres dejan cartas de amores perdidos o no correspondidos, Sophie encuentra una carta escrita hace 50 años por Claire Smith, una inglesa que buscaba a un italiano que la cautivó en su juventud. Sophie decide contestarle la carta, y ayudarla en la búsqueda de este hombre. Eso cambiará su vida para siempre."
"26678","Documental en el que vemos a la cantante Jeanne Balibar en los ensayos y las grabaciones de algunos temas de su nuevo disco, en sus clases de canto y en algunas actuaciones en directo. "
"29450","A finales del s.XIX un hecho conmocionó a la sociedad catalana: El anarquista Santiago Salvador lanzó una bomba a la platea del Gran Teatre del Liceu, con el resultado de veinte muertos. Más de un siglo después, La bomba del Liceo es una reflexión sobre aquellos hechos, con la colaboración de valiosos testimonios."
"28763","El film se sitúa en un futuro no muy lejano donde un muchacho de uno de los barrios más marginales de Buenos Aires descubre que puede volar y tiene una fuerza sobrehumana. Con estos sorprendentes poderes intentará ayudar a la gente y sobre todo procurará facilitar el acceso al agua, el bien más escaso que en este probable futuro está manejada por grandes corporaciones."
"27621","Dan Sanders es un vendedor inmobiliario que se traslada a los bosques de Oregón con su familia para supervisar la construcción de una nueva urbanización. Aunque está convenvido que sus únicos problemas serán adaptarse a la nueva vida y lidiar con los clientes, deberá enfrentarse a la fauna de la zona, unos animales dispuestos a todo para defender lo que es suyo. "
"34957","Tras la desaparición de la Unión Soviética, su flota pesquera - barcos y tripulación - quedó abandonada en distintos puertos de todo el mundo. Anclados refleja la vida cotidiana de 5 marineros que optaron por quedarse y rehacer sus vidas en un muelle olvidado en Las Palmas de Gran Canaria. "
"35876","Carlota tiene 16 años y, como cualquier adolescente, está hecha un lío: está enamorada de Oriol, pero pierde la virginidad con Sergio. Sus mejores amigas no pueden ayudarla, porque Mireia quiere seducir a Oriol en secreto, y Lydia se viste de chico para poder estar cerca de Lucas. Por eso, Carlota decide escribir un diario para ver si encuentra solución a todo lo que le ocurre. "
"20852","Documental que se sumerge en todos los mares del planeta, desde las lagunas tropicales hasta las gélidas aguas de los polos, mostrándonos todas las criaturas que habitan sus aguas, desde las que todos conocemos hasta las especies más desconocidas. "
"34089","Susana y Marcos son dos hermanos que rondan los sesenta. Tienen caracteres muy diferentes, y siempre se han llevado bastante mal, pero ahora les toca unirse para superar la muerte de su madre. La suya se convertirá entonces en una tragicómica relación, en la que llegará un punto en que no podrán vivir ni juntos ni separados. "
"14461","NJ Jian y Min-Min viven tranquilamente en Taipei con sus dos hijos y la anciana madre de Min-Min. Sin embargo, todo cambia de repente: el marido debe afrontar la crisis de su empresa, la abuela entra en coma, la hija adolescente debe lidiar con su pasión adolescente, y el hijo no para de buscarse problemas en el colegio. En medio de todos los problemas, deberán aprender cómo cuidar de la vida. "
"2517",""
