"movie_id","runtime","budget","revenue","homepage"
"379","115","14000000","5080409","http://www.geocities.com/~mikemckiernan/mcfrontpage.html"
"380","133","25000000","354825435",""
"381","106","2500000","8750000",""
"383","78","22500","0",""
"387","150","14000000","85000000","www.dasboot.com"
"388","129","45000000","183954719","http://www.inside-man.de/"
"389","96","340000","0",""
"390","100","0","0",""
"391","99","200000","3500000",""
"392","122","25000000","152500343",""
"393","136","55000000","152159461",""
"395","101","70000000","171183863","http://www.avp-movie.com/"
"396","131","0","0",""
"397","111","0","0",""
"398","114","7000000","49084830","http://www.sonyclassics.com/capote/"
"400","115","8000000","529766",""
"401","102","2500000","26781723","http://www2.foxsearchlight.com/gardenstate/"
"402","123","49000000","352927224",""
"403","99","7500000","145793296",""
"404","111","0","0",""
"405","104","0","0",""
"406","95","3000000","0",""
"407","93","500000","0",""
"408","83","1488000","8000000","http://disney.go.com/vault/archives/movies/snow/snow.html"
"409","160","27000000","231700000",""
"410","105","0","0","http://www.sommervormbalkon.de/"
"411","140","180000000","748806957",""
"414","122","120000000","336531112",""
"415","125","125000000","238207122",""
"419","105","0","0",""
"421","119","50000000","34808403",""
"422","138","0","0",""
"423","150","35000000","120072577","http://www.thepianistmovie.com/"
"424","195","22000000","321265768","http://www.schindlerslist.com/"
"425","81","60000000","383259213","http://www.iceagemovie.com/original/"
"426","128","2479000","0",""
"427","110","0","0",""
"428","97","0","0",""
"429","161","1200000","19000000","http://www.mgm.com/goodbadugly/"
"430","115","3000000","0",""
"431","90","250000","501818",""
"433","140","6000000","102272727",""
"434","99","0","0","http://www.knallhart-derfilm.de"
"435","124","125000000","542772771","http://www.thedayaftertomorrow.com/"
"436","101","0","0","http://www.mariallenaeresdegracia.com/index.html"
"437","95","0","0","http://www.scifi.com/cube2/"
"438","97","825000","0",""
"439","174","0","0",""
"441","96","6000000","705308","http://www.humannaturemovie.com/"
"442","100","2224000","28000000","http://www.sf.se/sites/vittula/"
"445","117","0","36000000","http://www.cache-derfilm.at"
"446","105","0","0","http://www.lichter-der-film.de/"
"451","112","4000000","49800000","http://www.mgm.com/title_title.do?title_star=LEAVINGL"
"452","117","0","0","http://www.dogme95.dk/the_idiots/content/index.htm"
"453","135","60000000","313542341","http://www.abeautifulmind.com/"
"454","120","14500000","147298761","http://www.romeoandjuliet.com/"
"455","112","5000000","76578641","http://www2.foxsearchlight.com/benditlikebeckham/"
"457","102","0","0",""
"458","101","0","0",""
"459","109","0","0",""
"460","136","0","0",""
"462","130","51000000","256271286","http://www.erinbrockovich.com/home.html"
"463","0","0","0",""
"464","133","0","0","http://www.wie-im-himmel-derfilm.de/start.html"
"465","88","0","0",""
"466","114","8000000","0",""
"467","102","0","0",""
"468","104","2500000","0",""
"469","89","0","0",""
"470","124","20000000","60427839","http://www.21-grams.com/index.php"
"471","102","0","0",""
"473","84","60000","3221152","http://www.pithemovie.com/"
"475","111","2500000","50700000",""
"476","100","2500000","0",""
